phrase_text,group_size,confidence_score,word_count,status,needs_correction,correction_suggestion,final_correction,correction_source,source_documents,unique_companies,total_instances,best_phrase_id,best_file_name,context,created_at,updated_at
ไทย,29,,1,reviewed,True,,,needs_manual_review,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Shareholders.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Shareholders.pdf; บริษัท ภัทรมารีน จำกัด_Shareholders.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Shareholders.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Shareholders.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Shareholders.pdf; บริษัท ไทจีนิค จำกัด_Shareholders.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Shareholders.pdf; ใบตาล เทอร์บายน์ จำกัด_Shareholders.pdf,Uncategorized; ไม่ระบุบริษัท,29,464,,"Row 0, Col 1: ไทย...",2025-11-25 19:11:05,2025-11-25 19:26:00
คํานวณงบกระแสเงินสด โดยวิธีทางอ ้อม,28,,3,reviewed,True,คํานวณงบกระแสเงินสด โดยวิธีทางอ้อม,คํานวณงบกระแสเงินสด โดยวิธีทางอ้อม,dictionary_character_fix,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Cash Flow.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Cash Flow.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Cash Flow.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Cash Flow.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Cash Flow.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Cash Flow.pdf; บริษัท ไทจีนิค จำกัด_Cash Flow.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Cash Flow.pdf; ใบตาล เทอร์บายน์ จำกัด_Cash Flow.pdf,Uncategorized; ไม่ระบุบริษัท,28,45,,"Row 0, Col 0: คํานวณงบกระแสเงินสด โดยวิธีทางอ ้อม...",2025-11-25 19:11:05,2025-11-25 19:26:00
รวมส่วนของบริษัทใหญ่,27,,1,reviewed,True,รวมส่วนของบริษัทใหญ่,รวมส่วนของบริษัทใหญ่,dictionary_spacing,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_BS67.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_BS67.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_BS67.pdf; บริษัท ภัทรมารีน จำกัด_BS67.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_BS67.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_BS67.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_BS67.pdf; บริษัท ไทจีนิค จำกัด_BS67.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_BS67.pdf; ใบตาล เทอร์บายน์ จำกัด_BS67.pdf,Uncategorized; ไม่ระบุบริษัท,27,42,,"Row 1, Col 0: รวมส่วนของบริษัทใหญ่...",2025-11-25 19:11:05,2025-11-25 19:26:00
เงินสดและรายการเทียบเท่าเงินสด,27,,1,reviewed,True,เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,dictionary_spacing,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_BS67.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_BS67.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_BS67.pdf; บริษัท ภัทรมารีน จำกัด_BS67.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_BS67.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_BS67.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_BS67.pdf; บริษัท ไทจีนิค จำกัด_BS67.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_BS67.pdf; ใบตาล เทอร์บายน์ จำกัด_BS67.pdf,Uncategorized; ไม่ระบุบริษัท,27,3,,"Row 2, Col 0: เงินสดและรายการเทียบเท่าเงินสด...",2025-11-25 19:11:05,2025-11-25 19:26:00
จํานวนหุ ้น - จดทะเบียน,25,,4,reviewed,True,จำนวนหุ้น - จดทะเบียน,จำนวนหุ้น - จดทะเบียน,dictionary_character_fix,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Compare BS.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Compare BS.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Compare BS.pdf; บริษัท ภัทรมารีน จำกัด_Compare BS.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Compare BS.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Compare BS.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Compare BS.pdf; บริษัท ไทจีนิค จำกัด_Compare BS.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Compare BS.pdf; ใบตาล เทอร์บายน์ จำกัด_Compare BS.pdf,Uncategorized; ไม่ระบุบริษัท,25,141,,"Row 11, Col 0: จํานวนหุ ้น - จดทะเบียน...",2025-11-25 19:11:05,2025-11-25 19:26:00
สินค าคงเหลือ,23,,2,reviewed,True,สินค้าคงเหลือ,สินค้าคงเหลือ,dictionary_spacing,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_BS67.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_BS67.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_BS67.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_BS67.pdf; บริษัท ไทจีนิค จำกัด_BS67.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_BS67.pdf; ใบตาล เทอร์บายน์ จำกัด_BS67.pdf,Uncategorized; ไม่ระบุบริษัท,23,5,,"Row 4, Col 0: สินค าคงเหลือ...",2025-11-25 19:11:05,2025-11-25 19:26:00
ลดลง,22,,1,reviewed,True,,,needs_manual_review,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Cash Flow.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Cash Flow.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Cash Flow.pdf; บริษัท ภัทรมารีน จำกัด_Cash Flow.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Cash Flow.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Cash Flow.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Cash Flow.pdf; บริษัท ไทจีนิค จำกัด_Cash Flow.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Cash Flow.pdf; ใบตาล เทอร์บายน์ จำกัด_Cash Flow.pdf,Uncategorized; ไม่ระบุบริษัท,22,82,,"Row 0, Col 0: เงินสดและรายการเทียบเท่า เงินสดเพิมขึน ( ลดลง ) สุ...",2025-11-25 19:11:05,2025-11-25 19:26:00
การปรับปรุงด วยค่าใช จ่ายภาษี เงินได,12,,4,reviewed,True,การปรับปรุงด้วยค่าใช้จ่ายภาษีเงินได้,การปรับปรุงด้วยค่าใช้จ่ายภาษีเงินได้,dictionary_spacing,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Cash Flow.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Cash Flow.pdf; บริษัท ไทจีนิค จำกัด_Cash Flow.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Cash Flow.pdf,Uncategorized; ไม่ระบุบริษัท,12,49,,"Row 2, Col 0: การปรับปรุงด วยค่าใช จ่ายภาษี เงินได...",2025-11-25 19:11:05,2025-11-25 19:26:00
กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินทรัพย์และหนีสินดําเนินงาน,12,,3,reviewed,True,,,needs_manual_review,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Cash Flow.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Cash Flow.pdf; บริษัท ไทจีนิค จำกัด_Cash Flow.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Cash Flow.pdf,Uncategorized; ไม่ระบุบริษัท,12,51,,"Row 4, Col 0: กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินท...",2025-11-25 19:11:05,2025-11-25 19:26:00
กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินทรัพย์และหนีสินดําเนิน งาน,9,,4,reviewed,True,,,needs_manual_review,บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Cash Flow.pdf; บริษัท ภัทรมารีน จำกัด_Cash Flow.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Cash Flow.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Cash Flow.pdf,Uncategorized; ไม่ระบุบริษัท,9,581,,"Row 4, Col 0: กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินท...",2025-11-25 19:11:05,2025-11-25 19:26:00
ข้อมูลเพิมเติมในส่วนของผู้,9,,1,reviewed,True,ข้อมูลเพิ่มเติมในส่วนของผู้,ข้อมูลเพิ่มเติมในส่วนของผู้,dictionary_character_fix,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Compare BS.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Compare BS.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Compare BS.pdf,Uncategorized; ไม่ระบุบริษัท,9,139,,"Row 9, Col 0: ข้อมูลเพิมเติมในส่วนของผู้...",2025-11-25 19:11:05,2025-11-25 19:26:00
เดิม,8,,1,reviewed,True,,,needs_manual_review,บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Gen Info.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Gen Info.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Gen Info.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,8,413,,"Row 2, Col 0: เลขทะเบียนนิติบุคคล ( เดิม ):...",2025-11-25 19:11:05,2025-11-25 19:26:00
เอ็ม,7,,1,reviewed,True,,,needs_manual_review,บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Related.pdf,Uncategorized; ไม่ระบุบริษัท,7,741,,"Row 1, Col 1: ที . เอ็ม . อินดัสตรี ( บจก .)...",2025-11-25 19:11:05,2025-11-25 19:26:00
กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินทรัพย์และหนีสินดําเนิน,6,,3,reviewed,True,,,needs_manual_review,บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Cash Flow.pdf; ใบตาล เทอร์บายน์ จำกัด_Cash Flow.pdf,Uncategorized; ไม่ระบุบริษัท,6,859,,"Row 4, Col 0: กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินท...",2025-11-25 19:11:05,2025-11-25 19:26:00
ถือหุ้น,6,,1,reviewed,True,ถือหุ้น,ถือหุ้น,dictionary_character_fix,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Compare BS.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Compare BS.pdf,Uncategorized; ไม่ระบุบริษัท,6,140,,"Row 10, Col 0: ถือหุ้น...",2025-11-25 19:11:05,2025-11-25 19:26:00
หจก,6,,1,reviewed,True,,,needs_manual_review,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Related.pdf; ใบตาล เทอร์บายน์ จำกัด_Related.pdf,Uncategorized; ไม่ระบุบริษัท,6,1332,,"Row 1, Col 1: นันทศรี ซีวิลเวอร์ค ( หจก .)...",2025-11-25 19:11:05,2025-11-25 19:26:00
ผู้ตรวจสอบบัญชี จันทร์เพ็ญ เตชะกําธร 31/05/2568,5,,4,reviewed,True,ผู้ตรวจสอบบัญชี: จันทร์เพ็ญ เตชะกําธร 31/05/2568,ผู้ตรวจสอบบัญชี: จันทร์เพ็ญ เตชะกําธร 31/05/2568,dictionary_spacing,บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_BS67.pdf,Uncategorized; ไม่ระบุบริษัท,5,41,,"Row 0, Col 1: ผู้ตรวจสอบบัญชี จันทร์เพ็ญ เตชะกําธร 31/05/2568...",2025-11-25 19:11:05,2025-11-25 19:26:00
การผลิตผลิตภัณฑ์โลหะประดิษฐ์อืนๆซึงมิได จัด ประเภทไว้ ในทีอืน,4,,4,reviewed,True,,,needs_manual_review,บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,4,653,,"Row 9, Col 1: ( ล่าสุด ) 1. การผลิตผลิตภัณฑ์โลหะประดิษฐ์อืนๆซึงม...",2025-11-25 19:11:05,2025-11-25 19:26:00
การผลิตเหล็กและเหล็กกล าขันมูลฐานอืน ๆ ซึงมิได จัดประเภทไว ในทีอืน,4,,6,reviewed,True,,,needs_manual_review,บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,4,2929,,"Row 9, Col 1: ( ล่าสุด ) 1. การผลิตเหล็กและเหล็กกล าขันมูลฐานอืน...",2025-11-25 19:11:05,2025-11-25 19:26:00
การเช่าและการดําเนินการเกียวกับอสังหาริมทรัพย์ ทีเป็นของ ตนเองหรือเช่าจากผู้ อืนทีไม่ใช่เพือเป ็นทีพักอาศัย,4,,5,reviewed,True,,,needs_manual_review,บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,4,2263,,"Row 9, Col 1: ( ล่าสุด ) 1. การเช่าและการดําเนินการเกียวกับอสังห...",2025-11-25 19:11:05,2025-11-25 19:26:00
